GroupNum;GroupType;TypeTest;PartID;Partner;Round;Shape;KeyPressed;PositionItem;ChosenItem;ACC;Word;ID_CG;index;pair;distance
5;HT;block1_passive_exp;2;NA;0;5;NA;NA;NA;NA;nekuki;0;3;NA;NA
5;HT;block1_passive_exp;2;NA;0;7;NA;NA;NA;NA;aike;0;4;NA;NA
5;HT;block1_passive_exp;2;NA;0;4;NA;NA;NA;NA;puak;0;5;NA;NA
5;HT;block1_passive_exp;2;NA;0;6;NA;NA;NA;NA;anap;0;6;NA;NA
5;HT;block1_passive_exp;2;NA;0;3;NA;NA;NA;NA;esip;0;7;NA;NA
5;HT;block1_passive_exp;2;NA;0;0;NA;NA;NA;NA;nusa;0;8;NA;NA
5;HT;block2_passive_exp;2;NA;0;7;NA;NA;NA;NA;aike;0;9;NA;NA
5;HT;block2_passive_exp;2;NA;0;4;NA;NA;NA;NA;puak;0;10;NA;NA
5;HT;block2_passive_exp;2;NA;0;6;NA;NA;NA;NA;anap;0;11;NA;NA
5;HT;block2_passive_exp;2;NA;0;2;NA;NA;NA;NA;kesip;0;12;NA;NA
5;HT;block2_passive_exp;2;NA;0;1;NA;NA;NA;NA;nus;0;13;NA;NA
5;HT;block2_passive_exp;2;NA;0;5;NA;NA;NA;NA;nekuki;0;14;NA;NA
5;HT;block2_passive_exp;2;NA;0;3;NA;NA;NA;NA;esip;0;15;NA;NA
5;HT;block2_passive_exp;2;NA;0;0;NA;NA;NA;NA;nusa;0;16;NA;NA
5;HT;testing_set;2;NA;0;6;NA;NA;NA;0;esip;0;17;NA;NA
5;HT;testing_set;2;NA;0;5;NA;NA;NA;0;nukaki;0;18;NA;NA
5;HT;testing_set;2;NA;0;2;NA;NA;NA;0;sunua;0;19;NA;NA
5;HT;testing_set;2;NA;0;4;NA;NA;NA;0;esep;0;20;NA;NA
5;HT;testing_set;2;NA;0;0;NA;NA;NA;0;kika;0;21;NA;NA
5;HT;testing_set;2;NA;0;1;NA;NA;NA;0;esip;0;22;NA;NA
5;HT;testing_set;2;NA;0;3;NA;NA;NA;0;una;0;23;NA;NA
5;HT;testing_set;2;NA;0;7;NA;NA;NA;0;una;0;24;NA;NA
5;HT;final_testing;2;NA;0;3;NA;NA;NA;NA;epik;0;169;NA;NA
5;HT;final_testing;2;NA;0;4;NA;NA;NA;NA;usa;0;170;NA;NA
5;HT;final_testing;2;NA;0;5;NA;NA;NA;NA;kasaki;0;171;NA;NA
5;HT;final_testing;2;NA;0;6;NA;NA;NA;NA;np;0;172;NA;NA
5;HT;final_testing;2;NA;0;1;NA;NA;NA;NA;usa;0;173;NA;NA
5;HT;final_testing;2;NA;0;2;NA;NA;NA;NA;sesss;0;174;NA;NA
5;HT;final_testing;2;NA;0;7;NA;NA;NA;NA;aike;0;175;NA;NA
5;HT;final_testing;2;NA;0;0;NA;NA;NA;NA;nup;0;176;NA;NA
5;HT;block1_passive_exp;3;NA;0;7;NA;NA;NA;NA;aike;0;1;NA;NA
5;HT;block1_passive_exp;3;NA;0;2;NA;NA;NA;NA;kesip;0;2;NA;NA
5;HT;block1_passive_exp;3;NA;0;5;NA;NA;NA;NA;nekuki;0;3;NA;NA
5;HT;block1_passive_exp;3;NA;0;1;NA;NA;NA;NA;nus;0;4;NA;NA
5;HT;block1_passive_exp;3;NA;0;6;NA;NA;NA;NA;anap;0;5;NA;NA
5;HT;block1_passive_exp;3;NA;0;4;NA;NA;NA;NA;puak;0;6;NA;NA
5;HT;block1_passive_exp;3;NA;0;0;NA;NA;NA;NA;nusa;0;7;NA;NA
5;HT;block1_passive_exp;3;NA;0;3;NA;NA;NA;NA;esip;0;8;NA;NA
5;HT;block2_passive_exp;3;NA;0;6;NA;NA;NA;NA;anap;0;9;NA;NA
5;HT;block2_passive_exp;3;NA;0;1;NA;NA;NA;NA;nus;0;10;NA;NA
5;HT;block2_passive_exp;3;NA;0;3;NA;NA;NA;NA;esip;0;11;NA;NA
5;HT;block2_passive_exp;3;NA;0;5;NA;NA;NA;NA;nekuki;0;12;NA;NA
5;HT;block2_passive_exp;3;NA;0;2;NA;NA;NA;NA;kesip;0;13;NA;NA
5;HT;block2_passive_exp;3;NA;0;4;NA;NA;NA;NA;puak;0;14;NA;NA
5;HT;block2_passive_exp;3;NA;0;0;NA;NA;NA;NA;nusa;0;15;NA;NA
5;HT;block2_passive_exp;3;NA;0;7;NA;NA;NA;NA;aike;0;16;NA;NA
5;HT;testing_set;3;NA;0;6;NA;NA;NA;0;nesip;0;17;NA;NA
5;HT;testing_set;3;NA;0;2;NA;NA;NA;0;nesip;0;18;NA;NA
5;HT;testing_set;3;NA;0;4;NA;NA;NA;0;nakuku;0;19;NA;NA
5;HT;testing_set;3;NA;0;1;NA;NA;NA;0;kapu;0;20;NA;NA
5;HT;testing_set;3;NA;0;5;NA;NA;NA;0;nuas;0;21;NA;NA
5;HT;testing_set;3;NA;0;7;NA;NA;NA;1;aike;0;22;NA;NA
5;HT;testing_set;3;NA;0;3;NA;NA;NA;1;esip;0;23;NA;NA
5;HT;testing_set;3;NA;0;0;NA;NA;NA;0;nuap;0;24;NA;NA
5;HT;final_testing;3;NA;0;6;NA;NA;NA;NA;supi;0;169;NA;NA
5;HT;final_testing;3;NA;0;2;NA;NA;NA;NA;sess;0;170;NA;NA
5;HT;final_testing;3;NA;0;7;NA;NA;NA;NA;aike;0;171;NA;NA
5;HT;final_testing;3;NA;0;5;NA;NA;NA;NA;nakuki;0;172;NA;NA
5;HT;final_testing;3;NA;0;3;NA;NA;NA;NA;esip;0;173;NA;NA
5;HT;final_testing;3;NA;0;1;NA;NA;NA;NA;nup;0;174;NA;NA
5;HT;final_testing;3;NA;0;4;NA;NA;NA;NA;np;0;175;NA;NA
5;HT;final_testing;3;NA;0;0;NA;NA;NA;NA;nus;0;176;NA;NA
5;HT;block1_passive_exp;4;NA;0;1;NA;NA;NA;NA;nus;0;1;NA;NA
5;HT;block1_passive_exp;4;NA;0;4;NA;NA;NA;NA;puak;0;2;NA;NA
5;HT;block1_passive_exp;4;NA;0;3;NA;NA;NA;NA;esip;0;3;NA;NA
5;HT;block1_passive_exp;4;NA;0;6;NA;NA;NA;NA;anap;0;4;NA;NA
5;HT;block1_passive_exp;4;NA;0;0;NA;NA;NA;NA;nusa;0;5;NA;NA
5;HT;block1_passive_exp;4;NA;0;5;NA;NA;NA;NA;nekuki;0;6;NA;NA
5;HT;block1_passive_exp;4;NA;0;7;NA;NA;NA;NA;aike;0;7;NA;NA
5;HT;block1_passive_exp;4;NA;0;2;NA;NA;NA;NA;kesip;0;8;NA;NA
5;HT;block2_passive_exp;4;NA;0;3;NA;NA;NA;NA;esip;0;9;NA;NA
5;HT;block2_passive_exp;4;NA;0;4;NA;NA;NA;NA;puak;0;10;NA;NA
5;HT;block2_passive_exp;4;NA;0;5;NA;NA;NA;NA;nekuki;0;11;NA;NA
5;HT;block2_passive_exp;4;NA;0;0;NA;NA;NA;NA;nusa;0;12;NA;NA
5;HT;block2_passive_exp;4;NA;0;2;NA;NA;NA;NA;kesip;0;13;NA;NA
5;HT;block2_passive_exp;4;NA;0;7;NA;NA;NA;NA;aike;0;14;NA;NA
5;HT;block2_passive_exp;4;NA;0;6;NA;NA;NA;NA;anap;0;15;NA;NA
5;HT;block2_passive_exp;4;NA;0;1;NA;NA;NA;NA;nus;0;16;NA;NA
5;HT;testing_set;4;NA;0;0;NA;NA;NA;0;asep;0;17;NA;NA
5;HT;testing_set;4;NA;0;6;NA;NA;NA;0;euki;0;18;NA;NA
5;HT;testing_set;4;NA;0;1;NA;NA;NA;0;nup;0;19;NA;NA
5;HT;testing_set;4;NA;0;2;NA;NA;NA;0;apak;0;20;NA;NA
5;HT;testing_set;4;NA;0;5;NA;NA;NA;1;nekuki;0;21;NA;NA
5;HT;testing_set;4;NA;0;7;NA;NA;NA;1;aike;0;22;NA;NA
5;HT;testing_set;4;NA;0;3;NA;NA;NA;1;esip;0;23;NA;NA
5;HT;testing_set;4;NA;0;4;NA;NA;NA;0;isap;0;24;NA;NA
5;HT;final_testing;4;NA;0;0;NA;NA;NA;NA;ss;0;169;NA;NA
5;HT;final_testing;4;NA;0;6;NA;NA;NA;NA;np;0;170;NA;NA
5;HT;final_testing;4;NA;0;3;NA;NA;NA;NA;esip;0;171;NA;NA
5;HT;final_testing;4;NA;0;4;NA;NA;NA;NA;epik;0;172;NA;NA
5;HT;final_testing;4;NA;0;2;NA;NA;NA;NA;esipppp;0;173;NA;NA
5;HT;final_testing;4;NA;0;7;NA;NA;NA;NA;aike;0;174;NA;NA
5;HT;final_testing;4;NA;0;5;NA;NA;NA;NA;nukaki;0;175;NA;NA
5;HT;final_testing;4;NA;0;1;NA;NA;NA;NA;nuk;0;176;NA;NA
5;HT;ComGame_Guesser;1;2;1;6;5;6;7;0;np;0;26;1_2;0
5;HT;ComGame_Guesser;2;1;1;5;7;0;5;0;ka;0;25;1_2;NA
5;HT;ComGame_Guesser;1;2;1;3;4;2;0;0;esip;1;28;1_2;0
5;HT;ComGame_Guesser;2;1;1;1;3;1;1;0;usa;1;27;1_2;NA
5;HT;ComGame_Guesser;1;2;1;1;3;4;1;0;nus;2;30;1_2;0
5;HT;ComGame_Guesser;2;1;1;7;5;2;7;0;nus;2;29;1_2;NA
5;HT;ComGame_Guesser;1;2;1;0;8;1;4;0;nus;3;32;1_2;0
5;HT;ComGame_Guesser;2;1;1;3;5;3;7;0;epik;3;31;1_2;NA
5;HT;ComGame_Guesser;1;2;1;7;1;0;6;1;nus;4;34;1_2;1
5;HT;ComGame_Guesser;2;1;1;6;4;4;0;0;np;4;33;1_2;NA
5;HT;ComGame_Guesser;1;2;1;2;2;7;3;0;eip;5;36;1_2;0.25
5;HT;ComGame_Guesser;2;1;1;4;8;5;4;0;epik;5;35;1_2;NA
5;HT;ComGame_Guesser;1;2;1;5;8;5;4;0;nis;6;38;1_2;0.75
5;HT;ComGame_Guesser;2;1;1;2;4;6;0;0;sas;6;37;1_2;NA
5;HT;ComGame_Guesser;1;2;1;4;3;3;1;0;ses;7;40;1_2;1
5;HT;ComGame_Guesser;2;1;1;0;4;7;0;0;isi;7;39;1_2;NA
5;HT;ComGame_Guesser;1;3;2;2;7;3;5;0;esip;0;42;1_3;0
5;HT;ComGame_Guesser;3;1;2;0;2;5;3;0;nuap;0;41;1_3;NA
5;HT;ComGame_Guesser;1;3;2;1;8;0;4;0;nus;1;44;1_3;0
5;HT;ComGame_Guesser;3;1;2;6;3;2;1;1;nekis;1;43;1_3;NA
5;HT;ComGame_Guesser;1;3;2;5;7;2;5;0;nup;2;46;1_3;0.5
5;HT;ComGame_Guesser;3;1;2;1;8;6;4;0;nip;2;45;1_3;NA
5;HT;ComGame_Guesser;1;3;2;7;7;6;5;1;ie;3;48;1_3;0
5;HT;ComGame_Guesser;3;1;2;5;5;4;7;1;nakuki;3;47;1_3;NA
5;HT;ComGame_Guesser;1;3;2;4;5;4;7;1;pun;4;50;1_3;0
5;HT;ComGame_Guesser;3;1;2;7;6;7;2;0;aike;4;49;1_3;NA
5;HT;ComGame_Guesser;1;3;2;6;6;5;2;1;np;5;52;1_3;0
5;HT;ComGame_Guesser;3;1;2;2;4;0;0;0;kesip;5;51;1_3;NA
5;HT;ComGame_Guesser;1;3;2;3;1;7;6;0;esip;6;54;1_3;0
5;HT;ComGame_Guesser;3;1;2;4;2;1;3;1;np;6;53;1_3;NA
5;HT;ComGame_Guesser;1;3;2;0;2;1;3;1;nus;7;56;1_3;0
5;HT;ComGame_Guesser;3;1;2;3;3;3;1;0;esip;7;55;1_3;NA
