GroupNum;GroupType;TypeTest;PartID;Partner;Round;Shape;KeyPressed;PositionItem;ChosenItem;ACC;Word;ID_CG;index;pair
1;HT;block1_passive_exp;2;NA;0;3;NA;NA;NA;NA;esip;0;2;NA
1;HT;block1_passive_exp;2;NA;0;4;NA;NA;NA;NA;puak;0;3;NA
1;HT;block1_passive_exp;2;NA;0;1;NA;NA;NA;NA;nus;0;4;NA
1;HT;block1_passive_exp;2;NA;0;2;NA;NA;NA;NA;kesip;0;5;NA
1;HT;block1_passive_exp;2;NA;0;6;NA;NA;NA;NA;anap;0;6;NA
1;HT;block1_passive_exp;2;NA;0;7;NA;NA;NA;NA;aike;0;7;NA
1;HT;block1_passive_exp;2;NA;0;0;NA;NA;NA;NA;nusa;0;8;NA
1;HT;block2_passive_exp;2;NA;0;6;NA;NA;NA;NA;anap;0;9;NA
1;HT;block2_passive_exp;2;NA;0;1;NA;NA;NA;NA;nus;0;10;NA
1;HT;block2_passive_exp;2;NA;0;4;NA;NA;NA;NA;puak;0;11;NA
1;HT;block2_passive_exp;2;NA;0;5;NA;NA;NA;NA;nekuki;0;12;NA
1;HT;block2_passive_exp;2;NA;0;7;NA;NA;NA;NA;aike;0;13;NA
1;HT;block2_passive_exp;2;NA;0;3;NA;NA;NA;NA;esip;0;14;NA
1;HT;block2_passive_exp;2;NA;0;0;NA;NA;NA;NA;nusa;0;15;NA
1;HT;block2_passive_exp;2;NA;0;2;NA;NA;NA;NA;kesip;0;16;NA
1;HT;testing_set;2;NA;0;6;NA;NA;NA;0;nuki;0;17;NA
1;HT;testing_set;2;NA;0;3;NA;NA;NA;0;pasip;0;18;NA
1;HT;testing_set;2;NA;0;0;NA;NA;NA;0;nuki;0;19;NA
1;HT;testing_set;2;NA;0;7;NA;NA;NA;0;suka;0;20;NA
1;HT;testing_set;2;NA;0;2;NA;NA;NA;0;nusip;0;21;NA
1;HT;testing_set;2;NA;0;5;NA;NA;NA;0;pikak;0;22;NA
1;HT;testing_set;2;NA;0;1;NA;NA;NA;0;nup;0;23;NA
