GroupNum;GroupType;TypeTest;PartID;Partner;Round;Shape;KeyPressed;PositionItem;ChosenItem;ACC;Word;ID_CG;index;pair
2;HM;block2_passive_exp;2;NA;0;2;NA;NA;NA;NA;kesip;0;11;NA
2;HM;block2_passive_exp;2;NA;0;5;NA;NA;NA;NA;nekuki;0;12;NA
2;HM;block2_passive_exp;2;NA;0;7;NA;NA;NA;NA;aike;0;13;NA
2;HM;block2_passive_exp;2;NA;0;4;NA;NA;NA;NA;puak;0;14;NA
2;HM;block2_passive_exp;2;NA;0;1;NA;NA;NA;NA;nus;0;15;NA
2;HM;block2_passive_exp;2;NA;0;6;NA;NA;NA;NA;anap;0;16;NA
2;HM;testing_set;2;NA;0;5;NA;NA;NA;1;nekuki;0;17;NA
2;HM;testing_set;2;NA;0;6;NA;NA;NA;0;anaap;0;18;NA
2;HM;testing_set;2;NA;0;1;NA;NA;NA;1;nus;0;19;NA
2;HM;testing_set;2;NA;0;0;NA;NA;NA;0;nus;0;20;NA
2;HM;testing_set;2;NA;0;7;NA;NA;NA;0;aupi;0;21;NA
2;HM;testing_set;2;NA;0;4;NA;NA;NA;0;auki;0;22;NA
2;HM;testing_set;2;NA;0;2;NA;NA;NA;1;kesip;0;23;NA
2;HM;testing_set;2;NA;0;3;NA;NA;NA;0;neuik;0;24;NA
2;HM;final_testing;2;NA;0;0;NA;NA;NA;NA;nuna;0;169;NA
2;HM;final_testing;2;NA;0;2;NA;NA;NA;NA;kesip;0;170;NA
2;HM;final_testing;2;NA;0;3;NA;NA;NA;NA;peuk;0;171;NA
2;HM;final_testing;2;NA;0;4;NA;NA;NA;NA;ausi;0;172;NA
2;HM;final_testing;2;NA;0;1;NA;NA;NA;NA;nus;0;173;NA
2;HM;final_testing;2;NA;0;5;NA;NA;NA;NA;nekuki;0;174;NA
2;HM;final_testing;2;NA;0;6;NA;NA;NA;NA;asap;0;175;NA
2;HM;final_testing;2;NA;0;7;NA;NA;NA;NA;ausi;0;176;NA
2;HM;block1_passive_exp;3;NA;0;5;NA;NA;NA;NA;nekuki;0;1;NA
2;HM;block1_passive_exp;3;NA;0;7;NA;NA;NA;NA;aike;0;2;NA
2;HM;block1_passive_exp;3;NA;0;6;NA;NA;NA;NA;anap;0;3;NA
2;HM;block1_passive_exp;3;NA;0;4;NA;NA;NA;NA;puak;0;4;NA
2;HM;block1_passive_exp;3;NA;0;0;NA;NA;NA;NA;nusa;0;5;NA
2;HM;block1_passive_exp;3;NA;0;2;NA;NA;NA;NA;kesip;0;6;NA
2;HM;block1_passive_exp;3;NA;0;3;NA;NA;NA;NA;esip;0;7;NA
2;HM;block1_passive_exp;3;NA;0;1;NA;NA;NA;NA;nus;0;8;NA
2;HM;block2_passive_exp;3;NA;0;0;NA;NA;NA;NA;nusa;0;9;NA
2;HM;block2_passive_exp;3;NA;0;7;NA;NA;NA;NA;aike;0;10;NA
2;HM;block2_passive_exp;3;NA;0;1;NA;NA;NA;NA;nus;0;11;NA
2;HM;block2_passive_exp;3;NA;0;4;NA;NA;NA;NA;puak;0;12;NA
